"","station","date","variable","value","units","ym"
"11945",17002600102,2016-04-18,"arsenic",1.5,"ug/L","201604"
"11999",17002600202,2016-04-18,"arsenic",1.5,"ug/L","201604"
"12053",17002600302,2016-04-18,"arsenic",1.5,"ug/L","201604"
"12107",17002600402,2016-04-18,"arsenic",1.5,"ug/L","201604"
"12161",17002600602,2016-04-18,"arsenic",2,"ug/L","201604"
"12213",17002600702,2016-04-18,"arsenic",0.5,"ug/L","201604"
"12262",17002601002,2016-04-18,"arsenic",0.5,"ug/L","201604"
"12316",17002601101,2016-04-18,"arsenic",4.5,"ug/L","201604"
"12370",17002601202,2016-04-18,"arsenic",0.5,"ug/L","201604"
"12424",17002601302,2016-04-18,"arsenic",3.5,"ug/L","201604"
"12478",17002601902,2016-04-18,"arsenic",0.5,"ug/L","201604"
"12532",17002602302,2016-04-18,"arsenic",4.5,"ug/L","201604"
"28741",17002600102,2016-05-24,"arsenic",2,"ug/L","201605"
"28795",17002600202,2016-05-24,"arsenic",2,"ug/L","201605"
"28848",17002600302,2016-05-24,"arsenic",2,"ug/L","201605"
"28901",17002600402,2016-05-24,"arsenic",2,"ug/L","201605"
"28955",17002600602,2016-05-24,"arsenic",4,"ug/L","201605"
"29008",17002600702,2016-05-24,"arsenic",0.5,"ug/L","201605"
"29061",17002601002,2016-05-24,"arsenic",0.5,"ug/L","201605"
"29115",17002601101,2016-05-24,"arsenic",12,"ug/L","201605"
"29169",17002601202,2016-05-24,"arsenic",0.5,"ug/L","201605"
"29222",17002601302,2016-05-24,"arsenic",20,"ug/L","201605"
"29276",17002601902,2016-05-24,"arsenic",0.5,"ug/L","201605"
"29329",17002602302,2016-05-24,"arsenic",8,"ug/L","201605"
"39550",17002600102,2016-06-20,"arsenic",4,"ug/L","201606"
"39604",17002600202,2016-06-20,"arsenic",4.5,"ug/L","201606"
"39658",17002600302,2016-06-20,"arsenic",4,"ug/L","201606"
"39712",17002600402,2016-06-20,"arsenic",4.5,"ug/L","201606"
"39766",17002600602,2016-06-20,"arsenic",5.5,"ug/L","201606"
"39820",17002600702,2016-06-20,"arsenic",1,"ug/L","201606"
"39874",17002601002,2016-06-20,"arsenic",0.5,"ug/L","201606"
"39928",17002601101,2016-06-20,"arsenic",21,"ug/L","201606"
"39974",17002601202,2016-06-20,"arsenic",1.5,"ug/L","201606"
"40019",17002601302,2016-06-20,"arsenic",81,"ug/L","201606"
"40065",17002601902,2016-06-20,"arsenic",1,"ug/L","201606"
"40111",17002602302,2016-06-20,"arsenic",15,"ug/L","201606"
"53496",17002600102,2016-07-18,"arsenic",5,"ug/L","201607"
"53550",17002600202,2016-07-18,"arsenic",6.5,"ug/L","201607"
"53604",17002600302,2016-07-18,"arsenic",7,"ug/L","201607"
"53658",17002600402,2016-07-18,"arsenic",7,"ug/L","201607"
"53712",17002600602,2016-07-18,"arsenic",7.5,"ug/L","201607"
"53766",17002600702,2016-07-18,"arsenic",1.5,"ug/L","201607"
"53820",17002601002,2016-07-18,"arsenic",1,"ug/L","201607"
"53874",17002601101,2016-07-18,"arsenic",48,"ug/L","201607"
"53928",17002601202,2016-07-18,"arsenic",2,"ug/L","201607"
"53982",17002601302,2016-07-18,"arsenic",250,"ug/L","201607"
"54036",17002601902,2016-07-18,"arsenic",1.5,"ug/L","201607"
"54089",17002602302,2016-07-18,"arsenic",19,"ug/L","201607"
"70940",17002600102,2016-08-23,"arsenic",4.5,"ug/L","201608"
"70994",17002600202,2016-08-23,"arsenic",5,"ug/L","201608"
"71048",17002600302,2016-08-23,"arsenic",25,"ug/L","201608"
"71102",17002600402,2016-08-23,"arsenic",21,"ug/L","201608"
"71156",17002600602,2016-08-23,"arsenic",6.5,"ug/L","201608"
"71210",17002600702,2016-08-23,"arsenic",1.5,"ug/L","201608"
"71264",17002601002,2016-08-23,"arsenic",1,"ug/L","201608"
"71318",17002601101,2016-08-23,"arsenic",87,"ug/L","201608"
"71372",17002601202,2016-08-23,"arsenic",2.5,"ug/L","201608"
"71426",17002601302,2016-08-23,"arsenic",410,"ug/L","201608"
"71480",17002601902,2016-08-23,"arsenic",2,"ug/L","201608"
"71534",17002602302,2016-08-23,"arsenic",17,"ug/L","201608"
"81127",17002600102,2016-09-19,"arsenic",3.5,"ug/L","201609"
"81181",17002600202,2016-09-19,"arsenic",4,"ug/L","201609"
"81235",17002600302,2016-09-19,"arsenic",23,"ug/L","201609"
"81288",17002600402,2016-09-19,"arsenic",22,"ug/L","201609"
"81342",17002600602,2016-09-19,"arsenic",5.5,"ug/L","201609"
"81395",17002600702,2016-09-19,"arsenic",1,"ug/L","201609"
"81449",17002601002,2016-09-19,"arsenic",0.5,"ug/L","201609"
"81503",17002601101,2016-09-19,"arsenic",110,"ug/L","201609"
"81556",17002601302,2016-09-19,"arsenic",370,"ug/L","201609"
"81609",17002601902,2016-09-19,"arsenic",2.5,"ug/L","201609"
"81660",17002602302,2016-09-19,"arsenic",16,"ug/L","201609"
"90170",17002601902,2016-10-17,"arsenic",1.5,"ug/L","201610"
"90223",17002600102,2016-10-17,"arsenic",3,"ug/L","201610"
"90276",17002600202,2016-10-17,"arsenic",3,"ug/L","201610"
"90329",17002600302,2016-10-17,"arsenic",15,"ug/L","201610"
"90383",17002600402,2016-10-17,"arsenic",18,"ug/L","201610"
"90437",17002600602,2016-10-17,"arsenic",3,"ug/L","201610"
"90490",17002600702,2016-10-17,"arsenic",1,"ug/L","201610"
"90544",17002601002,2016-10-17,"arsenic",0.5,"ug/L","201610"
"90598",17002601101,2016-10-17,"arsenic",43,"ug/L","201610"
"90650",17002601202,2016-10-17,"arsenic",1.5,"ug/L","201610"
"90703",17002601302,2016-10-17,"arsenic",320,"ug/L","201610"
