ES,System,Pollutant,CAS,Chemical.groups,Concentration,Units,Limit,Date,Reference,Notes
irrigation,,Aldicarb,116063,Pesticide,54.9,ug/L,lower,1993,,
irrigation,,Aluminium ,,Metal,5000,ug/L,lower,1987,,
irrigation,,arsenic,,Metal,100,ug/L,upper,1997,,
irrigation,,atrazine,1912249,Pesticide,10,ug/L,upper,1989,,
irrigation,,Beryllium ,,Metal,100,ug/L,upper,1987,,
irrigation,,Bromacil,314409,Pesticide,0.2,ug/L,upper,1997,,
irrigation,,Bromoxynil,,Pesticide,0.33,ug/L,upper,1993,,
irrigation,,cadmium,7440439,Metal,5.1,ug/L,upper,1996,,
irrigation,,Chlorothalonil,1897456,Pesticide,5.8,ug/L,upper,1994,,(other crops) 
irrigation,,"Chromium, hexavalent (Cr(VI))",7440473,Metal,8,ug/L,upper,1997,,
irrigation,,"Chromium, trivalent (Cr(III))",7440473,Metal,4.9,ug/L,upper,1997,,
irrigation,,Cobalt ,,Metal,50,ug/L,upper,1987,,
irrigation,,E.coli,,Biological,100,per 100 mL ,upper,1987,,
irrigation,,Total coliforms<U+00A0>,,Biological,1000,per 100 mL ,upper,1987,,
irrigation,,Cyanazine,2175462,Pesticide,0.5,ug/L,upper,1990,,
irrigation,,Dicamba,1918009,Pesticide,0.025,ug/L,upper,1993,CCME,"2.5 times the detection limit, value of 0.006 <U+00B5>g?L-1 is recommended as the overall Canadian water quality guideline for irrigation "
irrigation,,Diclofop-methyl,51338273,Pesticide,0.18,ug/L,upper,1993,,
irrigation,,Diisopropanolamine,110974,Organic chemical,2000,ug/L,upper,2006,,
irrigation,,Dinoseb,88857,Pesticide,16,ug/L,upper,1992,,
irrigation,,Fluoride ,,Inorganic chemical,1000,ug/L,upper,1987,,
irrigation,,iron ,,Metal,5000,ug/L,upper,1987,,
irrigation,,lead,,Metal,200,ug/L,upper,1987,,
irrigation,,Linuron,,Pesticide,0.071,ug/L,upper,1995,,
irrigation,,Lithium ,,Metal,2500,ug/L,upper,1987,,
irrigation,,Manganese ,,Metal,200,ug/L,upper,1987,,
irrigation,,Methylchlorophenoxyacetic acid ,94746,Pesticide,0.025,ug/L,upper,1995,,
irrigation,,Metolachlor,51218452,Pesticide,28,ug/L,upper,1991,,
irrigation,,Metribuzin,21087649,Pesticide,0.5,ug/L,upper,1990,,
irrigation,,nickel ,,Metal,200,ug/L,upper,1987,,
irrigation,,Simazine,122349,Pesticide,0.5,ug/L,upper,1991,,
irrigation,,SulfolaneBondelane,126330,Organic chemical,500,ug/L,upper,2005,,
irrigation,,Tebuthiuron,34014181,Pesticide,0.27,ug/L,upper,1995,,"(cereals, tame hays, and pastures) "
irrigation,,uranium, 7440-61-1,Metal,10,ug/L,upper,1987,,
irrigation,,Vanadium ,,Metal,100,ug/L,upper,1987,,
livestock,,"1,1,2-Trichloroethene", 79-01-6,Organic chemical,50,ug/L,upper,1991,,
livestock,,"1,2-Dichloroethane",1070602,Organic chemical,5,ug/L,upper,1991,,
livestock,,Aldicarb,116063,Pesticide,11,ug/L,upper,1993,,
livestock,,Aluminium ,,Metal,5000,ug/L,upper,1987,,
livestock,,arsenic,,Metal,25,ug/L,upper,1997,,
livestock,,atrazine,1912249,Pesticide,5,ug/L,upper,1989,,
livestock,,Beryllium ,,Metal,100,ug/L,upper,1987,,
livestock,,Boron ,,Metal,5000,ug/L,upper,1987,,
livestock,,Bromacil,314409,Pesticide,1100,ug/L,upper,1997,,
livestock,,Bromoxynil,,Pesticide,11,ug/L,upper,1993,,
livestock,,cadmium,7440439,Metal,80,ug/L,upper,1996,,
livestock,,Calcium ,,Metal,1000000,ug/L,upper,1987,,
livestock,,Captan,133062,Pesticide,13,ug/L,upper,1991,,
livestock,,Carbaryl,63252,Pesticide,1100,ug/L,upper,1997,,
livestock,,Carbofuran,1564662,Pesticide,45,ug/L,upper,1989,,
livestock,,Chlordane,,Pesticide,7,ug/L,upper,1987,,
livestock,,Chlorothalonil,1897456,Pesticide,170,ug/L,upper,1994,,
livestock,,Chlorpyrifos,2921882,Pesticide,24,ug/L,upper,1997,,
livestock,,"Chromium, hexavalent (Cr(VI))",7440473,Metal,50,ug/L,upper,1997,,
livestock,,"Chromium, trivalent (Cr(III))",7440473,Metal,50,ug/L,upper,1997,,
livestock,,Cobalt ,,Metal,1000,ug/L,upper,1987,,
livestock,,Cyanazine,2175462,Pesticide,10,ug/L,upper,1990,,
livestock,,Deltamethrin,52918635,Pesticide,2.5,ug/L,upper,1997,,
livestock,,Dibromochloromethane,,Organic chemical,100,ug/L,upper,1992,,
livestock,,Dicamba,1918009,Pesticide,122,ug/L,upper,1993,,
livestock,,Dichloro diphenyl trichloroethane,,Pesticide,30,ug/L,upper,1987,,
