STATION,NAME,LOCATION,STATUS,FIRST_YR,LAST_YR,TOTAL_YRS,MISS_YRS,LONGITUDE,LATITUDE
14002809102,Levey Creek,"Hwy 144, outlet of Whitewater Lake",A,2007,2016,10,0,-81.19623523,46.52354214
06008000702,Etobicoke Creek West,"Dixie Rd, W of Derry Rd, Mississauga",A,2002,2016,15,0,-79.67950823,43.67833164
19006400502,Abitibi River,"Dwnstrm Abitibi Paper Company, Iroquois Falls",I,1968,1993,14,12,-80.67707698,48.77551239
19006400602,Abitibi River,"Upstream Abitibi Paper Company, Iroquois Falls",I,1968,1992,14,11,-80.67018936,48.76184827
19006402202,Abitibi River,"At ferry to Gardiner, Hwy 579, Cochrane",I,1978,1979,2,0,-81.06696286,49.29755164
19006402302,Abitibi River,"Hwy 574, E. of Cochrane",I,1978,1994,16,1,-80.86297961,49.05883627
19006403002,Abitibi River,"Dwnstrm Abitibi Iroquois Falls, E. of Hwy 579",I,1980,1987,4,4,-80.95679111,49.18738764
19006403102,Abitibi River,"Immediately dwnstrm dam, upstrm Mill discharge",I,1980,1987,7,1,-80.66765598,48.76170002
19006403202,Abitibi River,400m upstrm Abitibi Mill and Iroquois Falls dam,I,1980,1984,5,0,-80.67278898,48.75721702
19006403602,Abitibi River,West of CPR Railway at Onakwana,I,1983,1983,1,0,-81.40833636,50.6440809
19005300102,Albany River,Near Nottick Island,I,1983,1983,1,0,-86.39293099,51.65119202
19005300302,Albany River,Near Hat Island,I,1983,1983,1,0,-83.38937799,51.34785002
19001800202,Asheweig River,At Straight Lake,I,1983,1983,1,0,-87.82164886,53.7999659
19004300102,Attawapiskat River,"At WSC gauge 04FC001, below Muketei River",A,1983,2015,4,29,-85.06488319,53.09002632
19000103202,Balmer Creek,"200m upstrm Chukuni River, dwnstrm Balmertown",I,1972,1996,25,0,-93.73668137,51.0297644
19000800702,Big Trout Lake,At Trout Lake,I,1983,1983,1,0,-89.86392749,53.8250584
19006400702,Black River,"Hwy 101, Matheson",I,1968,1993,17,9,-80.46401886,48.53937427
19005300502,Cat River,"North Bamaji Lake, E. of Konegon Lake",I,1983,1983,1,0,-91.61912112,51.15395327
19006404102,Cochrane Landfill Drainage,"Road btwn Conc 2 and 3, E. of Western Ave",I,1988,1989,2,0,-81.02593548,49.08055752
19006404202,Cochrane Landfill Drainage,"Leachate spring,N side of landfill, E. Western Av",I,1988,1989,2,0,-81.02982886,49.07820677
19006404302,Cochrane Landfill Drainage,"Stream entering pond at golf course,E Western Ave",I,1988,1989,2,0,-81.02598361,49.07492864
19006404402,Cochrane Landfill Drainage,E Side of Golfcourse Rd and rd to school,I,1988,1989,2,0,-81.02483223,49.07565552
19006404702,Driftwood River,"Hwy 101, Shillington",I,1991,1992,2,0,-80.68703511,48.53778789
19004300202,Ekwan River,Otoskwin River below Badesdawa,I,1983,1983,1,0,-89.60193812,51.82381977
19000800202,Fawn River,Below Big Trout Lake,I,1983,1983,1,0,-89.56245649,53.76141065
19006401802,Five Mile Creek,Mouth in town of Mattice,I,1972,1978,7,0,-83.25624049,49.61211639
19006401702,Gough Creek,"W. of Brunelle Rd. S, S. of Hwy 11, Kapuskasing",I,1972,1995,12,12,-82.40849023,49.39950339
19006401602,Groundhog River,"Hwy 11, bridge in Farquier",I,1972,1990,18,1,-82.04172111,49.31332027
19000103301,Howey Bay,"500ft from shore, Howey Bay, Red Lake",I,1972,1996,25,0,-93.81785525,51.02265777
19006401902,Ivanhoe River,"Hwy 101 and railway bridge, Foloyet",I,1973,1983,2,9,-82.44805748,48.24746214
19006400902,Kapuskasing River,"Upstrm Spruce Falls Paper Company, S. of Hwy 11",I,1968,1982,15,0,-82.43345186,49.40634539
